Date,Open,High,Low,Close,Volume
2009-12-31,19.25,19.36,19.23,19.33,1545900
2010-01-04,19.540001,19.99,19.52,19.950001,6131600
2010-01-05,20.1,20.719999,20.049999,20.6,8395100
2010-01-06,20.65,21.120001,20.6,21.01,9734800
2010-01-07,20.940001,20.950001,20.65,20.790001,4623300
2010-01-08,20.790001,20.860001,20.629999,20.790001,2527500
2010-01-11,20.940001,20.940001,20.51,20.68,2714300
2010-01-12,20.450001,20.48,20.08,20.469999,3854800
2010-01-13,20.41,20.67,20.23,20.5,3493100
2010-01-14,20.610001,20.690001,20.15,20.58,9503800
2010-01-15,20.549999,20.6,20.200001,20.32,3220100
2010-01-18,20.379999,20.67,20.24,20.540001,1347600
2010-01-19,20.549999,20.690001,20.4,20.549999,2971300
2010-01-20,20.51,20.549999,20.25,20.49,2999300
2010-01-21,20.379999,20.43,19.91,19.950001,3665600
2010-01-22,19.83,20.02,19.559999,19.68,3657500
2010-01-25,19.700001,19.91,19.620001,19.75,2760400
2010-01-26,19.700001,19.959999,19.52,19.719999,3271300
2010-01-27,19.65,19.969999,19.51,19.91,2921800
2010-01-28,20,20.040001,19.530001,19.9,2767600
2010-01-29,19.73,20.02,19.540001,19.540001,3984000
2010-02-01,19.65,19.940001,19.610001,19.93,2133100
2010-02-02,20.02,20.17,19.959999,20.040001,4831100
2010-02-03,19.889999,20.110001,19.799999,20.059999,3923500
2010-02-04,19.879999,19.959999,19.35,19.440001,6696800
2010-02-05,19.309999,19.43,18.809999,19.24,5146600
2010-02-08,19.24,19.32,18.83,18.969999,2961000
2010-02-09,19.209999,19.25,18.92,19.24,3409300
2010-02-10,19.25,19.540001,19.200001,19.5,3434800
2010-02-11,19.389999,19.389999,18.57,19.16,13055600
2010-02-12,18.91,18.98,18.67,18.98,4751200
2010-02-16,19.200001,19.200001,18.950001,19.139999,3105500
2010-02-17,19.16,19.5,19.16,19.5,4215100
2010-02-18,19.450001,19.559999,19.389999,19.469999,3180900
2010-02-19,19.48,19.75,19.459999,19.65,4194600
2010-02-22,19.610001,19.639999,19.360001,19.48,2806000
2010-02-23,19.42,19.52,19.17,19.34,3019100
2010-02-24,19.360001,19.450001,19.280001,19.41,2274800
2010-02-25,19.25,19.299999,19,19.27,3647300
2010-02-26,19.209999,19.33,19.129999,19.309999,2566000
2010-03-01,19.4,19.5,19.280001,19.370001,2154700
2010-03-02,19.450001,19.450001,19.049999,19.110001,4659500
2010-03-03,19.15,19.35,19.15,19.309999,2116800
2010-03-04,19.4,19.780001,19.360001,19.75,3703800
2010-03-05,19.860001,20.129999,19.77,19.91,4458900
2010-03-08,20.08,20.110001,19.9,19.91,3225400
2010-03-09,19.889999,20.290001,19.68,20.190001,3505100
2010-03-10,20.26,20.58,20.23,20.440001,4304300
2010-03-11,20.450001,20.540001,20.34,20.51,2959900
2010-03-12,20.4,20.67,20.290001,20.4,5243600
2010-03-15,20.379999,20.610001,20.299999,20.559999,3598400
2010-03-16,20.65,20.790001,20.5,20.620001,4687100
2010-03-17,20.780001,20.99,20.65,20.68,4243000
2010-03-18,20.77,20.77,20.43,20.43,3788800
2010-03-19,20.42,20.450001,20.120001,20.139999,11112100
2010-03-22,19.66,20.07,19.58,19.950001,7142800
2010-03-23,19.950001,20.040001,19.790001,19.889999,4974100
2010-03-24,19.9,20.049999,19.74,20,4058600
2010-03-25,20.120001,20.5,20.07,20.129999,5020000
2010-03-26,20.23,20.59,20.209999,20.290001,5329000
2010-03-29,20.299999,20.459999,19.969999,20.08,6019500
2010-03-30,20.129999,20.200001,19.950001,19.969999,4005900
2010-03-31,19.950001,20.040001,19.77,20.040001,4344000
2010-04-01,20.1,20.26,20.049999,20.25,2387700
2010-04-05,20.32,20.52,20.32,20.450001,2958800
2010-04-06,20.309999,20.540001,20.299999,20.34,1904400
2010-04-07,20.25,20.34,20.02,20.24,3116900
2010-04-08,20.26,20.26,19.870001,19.98,4862400
2010-04-09,20.049999,20.24,19.92,20.1,3712000
2010-04-12,20.049999,20.139999,20,20,3357300
2010-04-13,19.940001,19.99,19.77,19.799999,3389500
2010-04-14,19.879999,20.02,19.68,19.950001,3717600
2010-04-15,19.950001,19.950001,19.68,19.82,3543300
2010-04-16,19.83,19.83,19.389999,19.4,4196900
2010-04-19,19.34,19.65,19.139999,19.6,4371300
2010-04-20,19.76,19.77,19.59,19.59,3675100
2010-04-21,19.639999,19.700001,19.540001,19.620001,3874000
2010-04-22,19.549999,19.549999,19.18,19.379999,4266600
2010-04-23,19.389999,19.42,19.120001,19.190001,5859700
2010-04-26,19.209999,19.360001,19.190001,19.280001,2243800
2010-04-27,19.299999,19.52,18.91,18.940001,6028600
2010-04-28,19.059999,19.059999,18.34,18.34,5809000
2010-04-29,18.5,18.799999,18.379999,18.620001,5747500
2010-04-30,18.68,18.719999,18.25,18.32,4428000
2010-05-03,18.42,18.450001,18.25,18.280001,3708300
2010-05-04,18.17,18.17,17.68,17.950001,6786600
2010-05-05,17.74,17.959999,17.610001,17.67,5753400
2010-05-06,18.120001,18.75,17.48,18.25,12278800
2010-05-07,18.440001,18.440001,17.690001,18.129999,7999900
2010-05-10,19.040001,19.059999,18.299999,18.6,5417300
2010-05-11,18.309999,18.889999,18.26,18.66,4298400
2010-05-12,18.9,19.049999,18.719999,19.049999,3307700
2010-05-13,19.02,19.030001,18.559999,18.690001,6681500
2010-05-14,18.5,18.549999,18.01,18.190001,4665000
2010-05-17,18.25,18.379999,17.74,18.030001,3891600
2010-05-18,18.200001,18.24,17.66,17.74,3737800
2010-05-19,17.620001,17.84,17.200001,17.559999,6293100
2010-05-20,17.200001,17.34,16.799999,16.84,10325300
2010-05-21,16.6,16.879999,16.24,16.76,6382700
2010-05-25,16.33,16.469999,16.200001,16.450001,6342000
2010-05-26,16.799999,16.85,16.51,16.59,5710600
2010-05-27,16.85,17.73,16.85,17.690001,5931700
2010-05-28,17.809999,17.92,17.5,17.58,4244900
2010-05-31,17.799999,17.99,17.639999,17.99,1919300
2010-06-01,17.790001,17.940001,17.52,17.610001,6332900
2010-06-02,17.73,17.83,17.440001,17.83,5193200
2010-06-03,17.889999,18.030001,17.68,17.99,4837500
2010-06-04,17.700001,17.790001,17.1,17.16,5499900
2010-06-07,17.200001,17.299999,16.91,16.93,4516900
2010-06-08,17.01,17.07,16.4,16.76,8954900
2010-06-09,16.950001,16.950001,16.450001,16.5,4563400
2010-06-10,16.709999,16.799999,16.5,16.719999,4039400
2010-06-11,16.58,16.629999,16.42,16.52,5401000
2010-06-14,16.700001,16.73,16.27,16.27,5833200
2010-06-15,16.4,16.879999,16.33,16.76,8877800
2010-06-16,16.74,16.959999,16.639999,16.9,6352700
2010-06-17,16.940001,16.969999,16.58,16.639999,5018100
2010-06-18,16.700001,16.870001,16.540001,16.540001,11217500
2010-06-21,16.809999,17.01,16.700001,16.809999,3793500
2010-06-22,16.74,16.85,16.549999,16.549999,2897800
2010-06-23,16.549999,16.66,16.33,16.4,4021900
2010-06-24,16.42,16.440001,16.219999,16.26,3829400
2010-06-25,16.309999,16.48,16.110001,16.35,3299800
2010-06-28,16.33,16.360001,16.200001,16.25,2602500
2010-06-29,16.110001,16.110001,15.34,15.38,7494200
2010-06-30,15.41,15.68,15.39,15.45,5934800
2010-07-02,15.74,15.74,15.33,15.41,3421600
2010-07-05,15.4,15.45,15.06,15.24,1205600
2010-07-06,15.38,15.72,15.32,15.56,4941600
2010-07-07,15.61,15.7,15.38,15.7,4020500
2010-07-08,15.86,15.86,15.53,15.8,4405000
2010-07-09,15.76,15.82,15.68,15.8,3084000
2010-07-12,15.9,15.9,15.62,15.72,3216500
2010-07-13,15.79,15.86,15.57,15.71,6194200
2010-07-14,15.71,15.71,15.44,15.45,6721000
2010-07-15,15.5,15.73,15.29,15.73,5468400
2010-07-16,15.69,15.69,15.15,15.31,4320000
2010-07-19,15.31,15.34,14.71,14.79,6646600
2010-07-20,14.62,15,14.51,14.98,5991100
2010-07-21,15.07,15.15,14.52,14.63,6155300
2010-07-22,14.8,15.3,14.77,15.29,3938400
2010-07-23,15.2,15.21,14.83,15.08,4435200
2010-07-26,15.14,15.15,14.95,15.13,3057800
2010-07-27,15.27,15.89,15.26,15.8,9903500
2010-07-28,15.76,15.95,15.56,15.7,4894000
2010-07-29,15.78,16.67,15.78,16.370001,9768100
2010-07-30,16.24,16.59,16.09,16.34,8086900
2010-08-03,16.6,16.639999,16.030001,16.09,5886300
2010-08-04,16.190001,16.209999,15.99,16,3091900
2010-08-05,15,15.08,13.74,14.2,28421800
2010-08-06,14,14.1,13.76,14.03,15577400
2010-08-09,14.2,14.29,14.06,14.27,5339200
2010-08-10,14.15,14.18,14,14.01,5525800
2010-08-11,13.8,13.8,13.32,13.41,10783000
2010-08-12,13.19,13.36,12.72,12.79,20965700
2010-08-13,12.75,12.87,12.16,12.73,19323000
2010-08-16,12.67,12.76,12.5,12.74,6870700
2010-08-17,12.9,12.97,12.54,12.66,9165900
2010-08-18,12.7,12.71,12.36,12.6,6884200
2010-08-19,12.52,12.54,12.22,12.31,7021000
2010-08-20,12.3,12.39,12.17,12.33,6626100
2010-08-23,12.45,12.48,12.26,12.38,5605500
2010-08-24,12.24,12.24,11.66,11.71,11967500
2010-08-25,11.3,11.79,11.27,11.77,11990800
2010-08-26,11.82,11.98,11.58,11.68,10072800
2010-08-27,11.77,12.06,11.58,12.06,7950100
2010-08-30,12.05,12.05,11.86,11.92,3360900
2010-08-31,11.87,12.06,11.76,11.87,7495600
